Eligibility ,Sex,Year ,Do you have an UNRWA Registration card? ,Do you live in a camp?, First person in your family to attend university?,UPC Member,What is the type of your school?,Are you on a scholarship at your school?,Current grade 12 stream,Average Grade 10 and 11,English Grade 10,English Grade 11,Have you taken the SAT?,SAT attempts ,"Volunteering,Projects, and More",Travel or here?,Universities in Lebanon,Do you have a sibling who is/was on a ULYP scholarship?,Marital Status of your parents,Is your father employed?,Is your mother employed?,Do any of your siblings work and contribute part of their income to the house?,Is there anyone else helping your family financially?,"Do you, as an applicant, have any Assets/Properties; Land & Property, Saving Accounts, Investments, Others","If you answered yes to the above question, what is the value/amount in LBP?",Do you have a private health insurance?, life scholarship Government,Tomooh,ID,Eligible Age,ConsideredNationality,IncomeVsExpenses,Both Parents work at UNRWA,Majors Check,AcademicEligibility,SAT Category,"Volunteering,Projects, and More perprocessed",Sentiment,Owned Assests Category,volunteering_count,goal_count,confidence_count,believe_count,community_count,giving back_count,academic excellence_count,volunteer_count,leadership_count
No,Female,2022-2023,Yes,No,No,No,Public,No,Sociology and Economy - SE,59.395,58.75,54.35,No,Not provided,"a volunteering project I've participated in during December was ""United We Rise"". it was an activity during Christmas eve in which the aim was distributing gifts to children who the project owners knew weren't able to buy their own, As we were ringing bells in Tyre so we could lift peoples smiles through the crisis we are going through in Lebanon. I believe that what makes me special outside my school work is my passion to learn new thing, and urge to know new people. ",1,Not Listed,No,Married,No,No,Yes,No,No,0,No,No,No,11,Eligible,Considered,Expenses Higher,0,TRUE,0,Low,volunteering project ive participated december united rise activity christmas eve aim distributing gift child project owner knew werent able buy ringing bell tyre could lift people smile crisis going lebanon believe make special outside school work passion learn new thing urge know new people,0.246439523,Nothing,1,0,0,3,0,0,0,1,0
No,Male,2022-2023,Yes,No,No,No,Public,No,Life Sciences - LS,63.05,0.493,0.5975,No,Not provided,"I volunteer every year during the holy month of ramadan with a non-profitable organization,
and our main goal is distributing meals to people in need. We started several years ago with
simple possibilities feeding almost 20 families, today we’re distributing for over 200 families on
daily basis. What really makes me special when it comes to working outside is that Im very
patient , Im compassionate with what im doing and main important thing is , I love what I do
and I do it with love and care.",1,Lebanese American University (LAU),No,Married,No,No,No,No,No,0,No,No,No,12,Eligible,Considered,Expenses Higher,0,TRUE,0,Low,volunteer every year holy month ramadan nonprofitable organization main goal distributing meal people need started several year ago simple possibility feeding almost 20 family today ’ distributing 200 family daily basis really make special come working outside im patient im compassionate im main important thing love love care,0.162119709,Nothing,0,1,0,0,3,0,0,1,0
No,Female,2021-2022,Yes,No,Yes,No,UNRWA,No,Sociology and Economy - SE,65,0.3,0.4,No,Not provided,"Unfortunately, I had plans to overwhelm a center for people with special needs, but due to the Covid 19 pandemic and quarantine, I could not volunteer",1,American University of Beirut (AUB),No,Married,No,No,No,No,No,0,No,No,No,14,Eligible,Considered,Income Higher,0,TRUE,0,Low,unfortunately plan overwhelm center people special need due covid 19 pandemic quarantine could volunteer,-0.001339286,Nothing,0,0,0,0,0,0,0,1,0
No,Female,2021-2022,Yes,No,No,No,Public,No,Sociology and Economy - SE,57.025,56.875,67.22,No,Not provided,"During these years I participated in many activities like UWC Lebanon short course, LAU summer camp, Model Arab League, Injaz Lebanon’s innovation camp, and other webinars and workshops about topics that I’m interested in. All in which I benefited/learned from, made new friends, got out of my comfort zone and even won awards (Position paper award in MAL/First place award in LAU summer camp/ 3rd place in innovation camp). I even discovered a few talents that I didn’t know I had. I’d say being able to participate in extracurricular/social  activities is where I can be creative the most, as I can express myself and my ideas in fun and innovative ways. What makes me special outside my school work is that I don’t hesitate to seize opportunities and benefit from the chances that I’m offered in my life outside school.",0,"American University of Beirut (AUB), Lebanese American University (LAU)",No,Married,No,No,No,Yes,No,0,No,No,No,16,Eligible,Considered,Income Higher,0,TRUE,0,Low,year participated many activity like uwc lebanon short course lau summer camp model arab league injaz lebanon ’ innovation camp webinars workshop topic ’ interested benefitedlearned made new friend got comfort zone even award position paper award malfirst place award lau summer camp 3rd place innovation camp even discovered talent ’ know ’ say able participate extracurricularsocial activity creative express idea fun innovative way make special outside school work ’ hesitate seize opportunity benefit chance ’ offered life outside school,0.221121166,Nothing,0,0,1,1,0,0,0,0,0
No,Female,2021-2022,Yes,No,Yes,No,Public,No,Sociology and Economy - SE,49,0.4906,0.5625,No,Not provided,"I participated in Bridging the Gap(2018-2019), MAL at LAU (2019-2020), Nutrition summer camp at lau (2020), and currently i volunteered at Sa3ed Community (I haven’t started yet) . It’s a great opportunity and it makes me feel special outside my school work for I meet new people with different traditions and it’s a great experience.",0,"Lebanese American University (LAU), Rafik Hariri University (RHU)",No,Married,No,No,No,No,No,0,No,No,No,17,Eligible,Considered,Expenses Higher,0,TRUE,0,Low,participated bridging gap20182019 mal lau 20192020 nutrition summer camp lau 2020 currently volunteered sa3ed community ’ started yet ’ great opportunity make feel special outside school work meet new people different tradition ’ great experience,0.332026386,Nothing,0,1,0,2,1,0,0,1,0
No,Male,2021-2022,Yes,Yes,Yes,No,UNRWA,No,Sociology and Economy - SE,59,0.2,0.29,No,Not provided,I volunteered with the Anera Foundation to distribute sterilizers and masks in order to prevent the spread of covid19,1,Lebanese American University (LAU),No,Married,Yes,No,No,No,No,0,No,No,No,18,Eligible,Considered,Expenses Higher,0,TRUE,0,Low,volunteered anera foundation distribute sterilizer mask order prevent spread covid19,0.1525,Nothing,0,0,0,0,0,0,0,1,0
No,Female,2022-2023,Yes,No,Yes,No,Public,No,Life Sciences - LS,56,0.6,0.6,No,Not provided,/,0,Lebanese American University (LAU),No,Divorced,No,Yes,Yes,No,No,0,No,No,No,19,Eligible,Considered,Expenses Higher,0,FALSE,0,Low,,0.197303922,Nothing,0,0,0,0,0,0,0,0,0
No,Male,2022-2023,Yes,Yes,No,No,UNRWA,No,Life Sciences - LS,63.425,0.5625,0.6625,Yes,1 time,Awareness about covid- 19 and distributing sterilizers for people in our camp ,0,"American University of Beirut (AUB), Lebanese American University (LAU), Rafik Hariri University (RHU)",No,Married,Yes,No,No,No,No,0,No,No,No,20,Eligible,Considered,Expenses Higher,0,TRUE,0,Low,awareness covid 19 distributing sterilizer people camp,0.185802519,Nothing,0,1,0,0,0,0,0,0,0
No,Male,2022-2023,Yes,No,Yes,Yes,UNRWA,No,Sociology and Economy - SE,61,60,56,No,Not provided,"I do volunteer every time i had a chance, whether in school to clean and plant trees or in jana association,about discussing series problem in the country and make a  sketches about rights, equality, and social troubles our country ",1,Rafik Hariri University (RHU),No,Married,No,No,Yes,Yes,No,0,No,No,No,21,Eligible,Considered,Expenses Higher,0,TRUE,0,Low,volunteer every time chance whether school clean plant tree jana associationabout discussing series problem country make sketch right equality social trouble country,0.240096726,Nothing,1,0,0,0,0,0,0,2,0
No,Female,2021-2022,Yes,Yes,Yes,No,UNRWA,No,Sociology and Economy - SE,54.5,30,35,No,Not provided,nothing,0,Lebanese American University (LAU),No,Married,Yes,No,Yes,No,No,0,No,No,No,23,Eligible,Considered,Expenses Higher,0,TRUE,0,Low,nothing,0,Nothing,0,0,0,0,0,0,0,0,0
No,Female,2021-2022,Yes,No,No,No,UNRWA,No,Sociology and Economy - SE,62.555,60,62.5,No,Not provided,"first i have been completed my 20 days of corona awareness campaign in summer vacation then i was member of chess club and book club, after beirut explosion jeel sustainable development made a camaign
     ""????? ?????? ??????""
 and i was a volunteer, on the other hand Al jana center also did a campaign ""???? ?????"" and i also voluntered for that.Moreover on eid al adha jeel sustainable development made a campaign called "" ??? ? ???"" and i worked for that ,this campaigne done in wadi el zienah.In addition to this aljana did a workshop called ""?? ?????..??? ?????"" and i was a member of this workshop.Finally I obtained a cerficited from al jana foundation with support from UNICEF.",0,"American University of Beirut (AUB), Lebanese American University (LAU), Rafik Hariri University (RHU)",No,Married,No,No,No,No,No,0,No,No,No,24,Eligible,Considered,Expenses Higher,0,TRUE,0,Low,first completed 20 day corona awareness campaign summer vacation member chess club book club beirut explosion jeel sustainable development made camaign ????? ?????? ?????? volunteer hand al jana center also campaign ???? ????? also voluntered thatmoreover eid al adha jeel sustainable development made campaign called ??? ? ??? worked campaigne done wadi el zienahin addition aljana workshop called ?? ???????? ????? member workshopfinally obtained cerficited al jana foundation support unicef,0.043333333,Nothing,0,0,0,0,0,0,0,1,0
No,Female,2023-2024,Yes,Yes,Yes,Yes,UNRWA,No,Sociology and Economy - SE,70,0.8,0.65,No,Not provided,"I do many courses and I have a two certificate in English, it skills, financial literacy, programming, business, life skills ",1,"American University of Beirut (AUB), Lebanese American University (LAU)",No,Married,No,No,No,No,No,0,No,Done,Done,25,Eligible,Considered,Expenses Higher,0,TRUE,0,Low,many course two certificate english skill financial literacy programming business life skill,0.276780303,Nothing,0,0,0,0,1,0,0,0,0
Yes,Female,2022-2023,Yes,No,No,No,Public,No,Life Sciences - LS,89,0.55,0.55,No,Not provided,"I am a social person i like to talk people so much, helpingg people let me special cause i like to help so many people not in money i like to help them in things they need anything they want, they can find mee  without even saying my name, i like to help without any nagging especially those people who are in neef these days. ",0,Lebanese American University (LAU),No,Married,Yes,No,No,No,No,0,No,No,No,26,Eligible,Considered,Expenses Higher,0,TRUE,1,Low,social person like talk people much helpingg people let special cause like help many people money like help thing need anything want find mee without even saying name like help without nagging especially people neef day,0.17537594,Nothing,0,0,0,0,1,0,0,0,0
No,Female,2022-2023,Yes,No,Yes,No,UNRWA,No,Sociology and Economy - SE,58.025,0.418,0.58,No,Not provided,"Well, through the years I tried to involve in as many social activities as I can. Because I'm a social person who likes to know new people and talk and work with them. So for that when I was about 10 years old I was going to Omar Al Khattab center to Learn parts of the Noble Qur’an and learn honorable prophetic hadiths and prophetic traditions. I also used to go to learn dabki after school with a team from our school and professional dancers. After that in 7th grade, I went on sport activity for students in my school. We used to go and train in the sport we choose 2 times a week.  I choose volleyball. For the English Language, I went to the American center in Bekaa, zahle for two years and got a certificate in the english language from them. Also in October 2021, I was in a learning camp which was with a team called '' barelias in our hearts''  and there I learned a first aid course, a firefighting course, and psychological, counseling, and patriotic courses. As for now, I'm trying to involve in any social activity I can since the summer is coming.",0,"Lebanese American University (LAU), Rafik Hariri University (RHU)",No,Married,No,No,No,No,No,0,No,No,No,27,Eligible,Considered,Expenses Higher,0,TRUE,0,Low,well year tried involve many social activity im social person like know new people talk work 10 year old going omar al khattab center learn part noble qur ’ learn honorable prophetic hadith prophetic tradition also used go learn dabki school team school professional dancer 7th grade went sport activity student school used go train sport choose 2 time week choose volleyball english language went american center bekaa zahle two year got certificate english language also october 2021 learning camp team called barelias heart learned first aid course firefighting course psychological counseling patriotic course im trying involve social activity since summer coming,0.161868687,Nothing,0,0,0,0,4,0,0,0,0
No,Female,2021-2022,Yes,Yes,Yes,No,UNRWA,No,Sociology and Economy - SE,67.5,40,60,No,Not provided,first aid course ,1,"American University of Beirut (AUB), Lebanese American University (LAU)",No,Married,Yes,Yes,No,No,No,0,Yes,No,No,28,Eligible,Considered,Income Higher,0,TRUE,0,Low,first aid course,0.375,Nothing,0,0,0,0,0,0,0,0,0
No,Male,2021-2022,Yes,Yes,No,Yes,UNRWA,No,Sociology and Economy - SE,58,50,65,No,Not provided,I went to Eldery home made some activities for intersting ,1,Not Listed,No,Married,Yes,No,No,No,No,0,No,No,No,29,Eligible,Considered,Expenses Higher,0,TRUE,0,Low,went eldery home made activity intersting,0,Nothing,0,0,0,0,0,0,0,0,0
No,Male,2021-2022,Yes,No,No,No,UNRWA,No,Sociology and Economy - SE,56.84,0.5,0.375,No,Not provided,"During the last 3 years of my life, I was suffering the divorce of my parents and this is why my school grades were not very good. However, starting this year I am  doing my best to score very high. I have a tutor and I am doing very great. But, I was throwing my negative energy when volunteering. I have been volunteering with Al Gawth NGO since 2 years, I prepare events with them, translate for Turkish donors, check names and sometimes prepare reports. In addition, during Beirut explosion, I helped in cleaning the streets, preparing food and distributing food in the place of the blast for people in need. ",1,"American University of Beirut (AUB), Lebanese American University (LAU)",No,Widowed,No,No,Yes,No,No,0,No,No,Done,30,Eligible,Considered,Income Higher,0,TRUE,0,Low,last 3 year life suffering divorce parent school grade good however starting year best score high tutor great throwing negative energy volunteering volunteering al gawth ngo since 2 year prepare event translate turkish donor check name sometimes prepare report addition beirut explosion helped cleaning street preparing food distributing food place blast people need,0.251666667,Nothing,2,0,0,0,1,0,0,2,0
Yes,Male,2023-2024,Yes,No,No,No,UNRWA,No,Sociology and Economy - SE,88,0.3343,0.5125,No,Not provided,"I love to spend my free time volunteering as it gives me a sense of fulfillment by giving back to my community. I have participated in many volunteering activities and community-based events. For example, I'm one of the active members in my area of ""Rabitat_Shabab-Saadnayel/ ????? ???? ???????"" as it aims to: 
1- Practicing social activities aimed at human development and encouraging artistic, social, cultural, and educational activities through holding lectures and seminars. 
2- Establishing centers for studies and information. 
3- Establishing health and educational centers, vocational and technical education, and holding training and rehabilitation courses.
 4- Combating prohibited activities, taking care of the conditions of prisoners and delinquents, and helping the disabled and the needy.
In addition, I always participate in our school's humanitarian events such as fundraising for the people suffering from the earthquake in Syria and Turkey. 
",1,"American University of Beirut (AUB), Lebanese American University (LAU), Rafik Hariri University (RHU), Haigazian University",No,Married,Yes,No,No,No,No,0,Yes,Done,Done,31,Eligible,Considered,Income Higher,0,TRUE,1,Low,love spend free time volunteering give sense fulfillment giving back community participated many volunteering activity communitybased event example im one active member area rabitatshababsaadnayel ????? ???? ??????? aim 1 practicing social activity aimed human development encouraging artistic social cultural educational activity holding lecture seminar 2 establishing center study information 3 establishing health educational center vocational technical education holding training rehabilitation course 4 combating prohibited activity taking care condition prisoner delinquent helping disabled needy addition always participate school humanitarian event fundraising people suffering earthquake syria turkey,0.169405594,Nothing,2,0,0,3,7,0,0,3,0
No,Female,2022-2023,No,No,No,No,Public,No,Life Sciences - LS,63.6,0.39,0.68,No,Not provided,"I joined al makassed volunteers this year and I hoped that I joined before, since I discovered new things about my character, humanity, children's love, loving to participate in group activities? selling books, helping unicef in plastic collection, and way more...",1,Lebanese American University (LAU),Yes,Married,Yes,No,No,No,No,0,No,No,No,32,Eligible,Considered,Income Higher,0,TRUE,0,Low,joined al makassed volunteer year hoped joined since discovered new thing character humanity childrens love loving participate group activities? selling book helping unicef plastic collection way,0.308997715,Nothing,0,1,1,2,1,0,0,1,0
Yes,Female,2021-2022,Yes,No,Yes,Yes,UNRWA,No,Sociology and Economy - SE,72.42,0.53,0.7,No,Not provided,I don’t have ,1,Not Listed,No,Married,Yes,No,Yes,Yes,No,0,No,No,No,33,Eligible,Considered,Income Higher,0,TRUE,0,Low,’,0.246590909,Real Estate,0,0,0,0,0,0,0,0,0
No,Female,2021-2022,Yes,Yes,Yes,No,UNRWA,No,Sociology and Economy - SE,61.385,20,50,No,Not provided," I volunteered in the kitchen of ramadan with the Palestinian Arab Cultural Club and with my school to prepare for the open day of the school, and community services ",1,Lebanese American University (LAU),No,Divorced,Yes,No,No,No,No,0,No,No,No,34,Eligible,Considered,Income Higher,0,TRUE,0,Low,volunteered kitchen ramadan palestinian arab cultural club school prepare open day school community service,0.133333333,Nothing,0,0,0,0,1,0,0,1,0
No,Female,2021-2022,No,No,Yes,No,UNRWA,No,Sociology and Economy - SE,55.5,0.56,0.55,No,Not provided,Iam volunteer at Aljana center contracted with unicef from two years ago,0,Rafik Hariri University (RHU),No,Widowed,No,No,No,No,No,0,No,No,No,35,Eligible,Considered,Income Higher,0,TRUE,0,Low,iam volunteer aljana center contracted unicef two year ago,0.26,Nothing,0,0,0,0,0,0,0,1,0
Yes,Female,2022-2023,Yes,Yes,No,No,UNRWA,No,Life Sciences - LS,79.35,0.562,0.837,Yes,1 time,"I have volunteering experience with bait al khair wal aata and with APCC in Beddawi camp to supply poor families in Ramadan for Iftar. And I have attended training sessions with UNICEF about life skills. Among with passion for improving my school's environment, I shared several number of students many attends to enhance the overall environment in Nazareth school. Moreover, My leadership skills make me special in every event. I can organise tasks that have given to me in professional manner. My personality is that of someone trustworthy, someone who works at pace, and someone who always embraces change positively. I am high-achiever and I can demonstrate business-awarness. Moreover, I believe that success at task is directly linked to my performance at work.",0,"American University of Beirut (AUB), Lebanese American University (LAU)",Yes,Married,Yes,No,No,No,No,0,No,No,No,36,Eligible,Considered,Expenses Higher,0,TRUE,1,Avg,volunteering experience bait al khair wal aata apcc beddawi camp supply poor family ramadan iftar attended training session unicef life skill among passion improving school environment shared several number student many attends enhance overall environment nazareth school moreover leadership skill make special every event organise task given professional manner personality someone trustworthy someone work pace someone always embrace change positively highachiever demonstrate businessawarness moreover believe success task directly linked performance work,0.127628205,Nothing,1,0,0,2,1,0,0,1,1
No,Male,2021-2022,Yes,No,No,No,UNRWA,No,Life Sciences - LS,50.19,0.4071,0.45,No,Not provided,i didnot  do any of these due to what happends in this 2 years ,0,American University of Science and Technology (AUST),Yes,Married,Yes,No,No,No,No,0,No,No,No,38,Eligible,Considered,Income Higher,0,TRUE,0,Low,didnot due happends 2 year,0.145,Nothing,0,0,0,0,0,0,0,0,0
No,Male,2021-2022,Yes,No,No,Yes,UNRWA,No,Life Sciences - LS,66.415,60.93,68.75,No,Not provided,JIM and member of team of playing football ,0,Rafik Hariri University (RHU),No,Divorced,No,No,No,No,No,0,No,No,No,40,Eligible,Considered,Expenses Higher,0,TRUE,0,Low,jim member team playing football,0,Nothing,0,0,0,0,0,0,0,0,0
No,Female,2021-2022,No,No,No,No,Public,No,Life Sciences - LS,60.7,67,50,No,Not provided,I was a volunteer in scounts and we went in a camp for many time,0,Not Listed,No,Married,No,No,No,No,No,0,No,No,No,41,Eligible,Considered,Income Higher,0,TRUE,0,Low,volunteer scounts went camp many time,0.25,Nothing,0,0,0,0,0,0,0,1,0
